user_id,task_id,plan_quality
Participant-1,test-149,2
Participant-1,test-200,4
Participant-1,test-388,5
Participant-1,test-497,5
Participant-1,test-675,5
Participant-1,test-859,3
Participant-2,test-149,2
Participant-2,test-200,3
Participant-2,test-388,5
Participant-2,test-497,3
Participant-2,test-675,3
Participant-2,test-859,3
Participant-3,test-149,2
Participant-3,test-200,3
Participant-3,test-388,5
Participant-3,test-497,5
Participant-3,test-675,5
Participant-3,test-859,3
Participant-4,test-149,5
Participant-4,test-200,3
Participant-4,test-388,5
Participant-4,test-497,5
Participant-4,test-675,1
Participant-4,test-859,3
Participant-5,test-149,2
Participant-5,test-200,3
Participant-5,test-388,5
Participant-5,test-497,5
Participant-5,test-675,5
Participant-5,test-859,3
Participant-6,test-149,2
Participant-6,test-200,3
Participant-6,test-388,5
Participant-6,test-497,5
Participant-6,test-675,5
Participant-6,test-859,3
Participant-7,test-149,2
Participant-7,test-200,3
Participant-7,test-388,5
Participant-7,test-497,5
Participant-7,test-675,5
Participant-7,test-859,3
Participant-8,test-149,2
Participant-8,test-200,3
Participant-8,test-388,5
Participant-8,test-497,5
Participant-8,test-675,5
Participant-8,test-859,3
Participant-9,test-149,1
Participant-9,test-200,3
Participant-9,test-388,1
Participant-9,test-497,2
Participant-9,test-675,5
Participant-9,test-859,1
Participant-10,test-149,2
Participant-10,test-200,3
Participant-10,test-388,5
Participant-10,test-497,5
Participant-10,test-675,5
Participant-10,test-859,3
Participant-11,test-149,2
Participant-11,test-200,3
Participant-11,test-388,5
Participant-11,test-497,5
Participant-11,test-675,5
Participant-11,test-859,3
Participant-12,test-149,2
Participant-12,test-200,3
Participant-12,test-388,5
Participant-12,test-497,5
Participant-12,test-675,5
Participant-12,test-859,3
Participant-13,test-149,2
Participant-13,test-200,3
Participant-13,test-388,5
Participant-13,test-497,5
Participant-13,test-675,5
Participant-13,test-859,3
Participant-14,test-149,2
Participant-14,test-200,3
Participant-14,test-388,5
Participant-14,test-497,5
Participant-14,test-675,5
Participant-14,test-859,3
Participant-15,test-149,2
Participant-15,test-200,3
Participant-15,test-388,5
Participant-15,test-497,5
Participant-15,test-675,5
Participant-15,test-859,3
Participant-16,test-149,2
Participant-16,test-200,3
Participant-16,test-388,5
Participant-16,test-497,5
Participant-16,test-675,5
Participant-16,test-859,3
Participant-17,test-149,2
Participant-17,test-200,3
Participant-17,test-388,5
Participant-17,test-497,5
Participant-17,test-675,5
Participant-17,test-859,3
Participant-18,test-149,2
Participant-18,test-200,3
Participant-18,test-388,5
Participant-18,test-497,5
Participant-18,test-675,5
Participant-18,test-859,3
Participant-19,test-149,2
Participant-19,test-200,3
Participant-19,test-388,5
Participant-19,test-497,5
Participant-19,test-675,5
Participant-19,test-859,3
Participant-20,test-149,5
Participant-20,test-200,1
Participant-20,test-388,5
Participant-20,test-497,5
Participant-20,test-675,5
Participant-20,test-859,3
Participant-21,test-149,2
Participant-21,test-200,3
Participant-21,test-388,5
Participant-21,test-497,5
Participant-21,test-675,5
Participant-21,test-859,3
