user_id,event_desc,user_behavior,created_time
Participant-166,llm_expertise,5,2024-08-22 00:55:30.020
Participant-166,assistant_expertise,4,2024-08-22 00:55:30.024
Participant-151,llm_expertise,3,2024-08-22 00:58:07.948
Participant-36,mental_demand,3,2024-08-22 00:59:48.703
Participant-36,temporal_demand,-3,2024-08-22 00:59:48.712
Participant-36,effort,3,2024-08-22 00:59:48.720
Participant-51,assistant_expertise,3,2024-08-22 01:00:53.157
Participant-12,llm_expertise,3,2024-08-22 01:04:20.392
Participant-115,physical_demand,-7,2024-08-22 01:13:23.683
Participant-115,performance,3,2024-08-22 01:13:23.692
Participant-115,frustration,3,2024-08-22 01:13:23.700
Participant-207,llm_expertise,5,2024-08-22 01:19:22.848
Participant-51,mental_demand,1,2024-08-22 01:28:31.962
Participant-51,temporal_demand,-3,2024-08-22 01:28:31.971
Participant-51,effort,1,2024-08-22 01:28:31.979
Participant-195,assistant_expertise,5,2024-08-22 01:38:23.680
Participant-166,mental_demand,5,2024-08-22 01:44:38.685
Participant-166,temporal_demand,-5,2024-08-22 01:44:38.693
Participant-166,effort,4,2024-08-22 01:44:38.701
Participant-191,assistant_expertise,5,2024-08-22 01:45:49.972
Participant-151,physical_demand,4,2024-08-22 01:48:24.998
Participant-151,performance,-7,2024-08-22 01:48:25.007
Participant-151,frustration,-7,2024-08-22 01:48:25.015
Participant-140,physical_demand,1,2024-08-22 01:48:54.328
Participant-140,performance,-2,2024-08-22 01:48:54.336
Participant-140,frustration,3,2024-08-22 01:48:54.344
Participant-106,assistant_expertise,2,2024-08-22 01:49:00.758
Participant-196,llm_expertise,2,2024-08-22 02:03:28.353
Participant-191,mental_demand,1,2024-08-22 02:05:26.224
Participant-191,temporal_demand,-7,2024-08-22 02:05:26.232
Participant-191,effort,2,2024-08-22 02:05:26.240
Participant-207,physical_demand,-7,2024-08-22 02:14:09.590
Participant-207,performance,3,2024-08-22 02:14:09.598
Participant-207,frustration,-7,2024-08-22 02:14:09.606
Participant-170,llm_expertise,1,2024-08-22 02:14:32.813
Participant-195,mental_demand,6,2024-08-22 02:15:30.397
Participant-195,temporal_demand,-2,2024-08-22 02:15:30.424
Participant-195,effort,5,2024-08-22 02:15:30.436
Participant-63,llm_expertise,3,2024-08-22 02:19:42.263
Participant-167,physical_demand,-7,2024-08-22 08:23:11.125
Participant-7,assistant_expertise,4,2024-08-22 02:13:56.527
Participant-126,llm_expertise,4,2024-08-22 02:17:19.498
Participant-171,mental_demand,2,2024-08-22 08:03:50.200
Participant-171,temporal_demand,-7,2024-08-22 08:03:50.312
Participant-171,effort,7,2024-08-22 08:03:50.405
Participant-96,assistant_expertise,4,2024-08-22 08:09:11.434
Participant-197,assistant_expertise,4,2024-08-22 08:10:17.810
Participant-192,mental_demand,3,2024-08-22 08:15:58.219
Participant-192,temporal_demand,-3,2024-08-22 08:15:58.228
Participant-192,effort,5,2024-08-22 08:15:58.237
Participant-167,performance,4,2024-08-22 08:23:11.136
Participant-167,frustration,-3,2024-08-22 08:23:11.144
Participant-49,physical_demand,-4,2024-08-22 08:26:50.776
Participant-49,performance,5,2024-08-22 08:26:50.804
Participant-49,frustration,4,2024-08-22 08:26:50.819
