user_id,task_order_str,user_group,created_time
Participant-146,test-388|test-859|test-497|test-675|test-149|test-200,AP-AE,2024-08-21 08:41:39.121
Participant-215,test-149|test-200|test-388|test-675|test-497|test-859,AP-AE,2024-08-21 08:48:30.800
Participant-39,test-149|test-388|test-200|test-675|test-497|test-859,AP-AE,2024-08-21 08:48:58.095
Participant-149,test-497|test-388|test-859|test-675|test-200|test-149,AP-AE,2024-08-21 08:58:39.561
Participant-160,test-388|test-200|test-859|test-675|test-497|test-149,AP-AE,2024-08-21 09:10:51.482
Participant-184,test-200|test-149|test-675|test-497|test-859|test-388,AP-AE,2024-08-21 09:13:23.948
Participant-218,test-497|test-388|test-675|test-859|test-200|test-149,AP-AE,2024-08-21 09:39:47.212
Participant-219,test-200|test-675|test-149|test-388|test-497|test-859,AP-AE,2024-08-21 09:47:35.332
Participant-18,test-388|test-200|test-497|test-149|test-675|test-859,AP-AE,2024-08-21 10:11:03.252
Participant-90,test-675|test-859|test-497|test-149|test-388|test-200,AP-AE,2024-08-21 10:18:43.835
Participant-29,test-149|test-497|test-859|test-675|test-388|test-200,AP-AE,2024-08-21 10:22:49.835
Participant-145,test-149|test-675|test-388|test-497|test-200|test-859,AP-AE,2024-08-21 10:27:48.342
Participant-100,test-675|test-388|test-859|test-200|test-497|test-149,AP-AE,2024-08-21 10:43:26.852
Participant-14,test-497|test-675|test-859|test-200|test-388|test-149,AP-AE,2024-08-21 10:47:19.990
Participant-58,test-859|test-675|test-200|test-149|test-388|test-497,AP-AE,2024-08-21 11:03:24.031
Participant-69,test-675|test-149|test-859|test-388|test-200|test-497,AP-AE,2024-08-21 11:06:07.763
Participant-91,test-388|test-675|test-149|test-497|test-859|test-200,AP-AE,2024-08-21 11:31:21.529
Participant-10,test-859|test-149|test-497|test-388|test-200|test-675,AP-AE,2024-08-21 11:41:31.289
Participant-98,test-497|test-388|test-675|test-149|test-200|test-859,AP-AE,2024-08-21 11:44:01.847
Participant-203,test-859|test-497|test-200|test-675|test-388|test-149,AP-AE,2024-08-21 11:55:35.876
Participant-30,test-200|test-675|test-859|test-149|test-497|test-388,AP-AE,2024-08-21 11:59:10.630
Participant-28,test-859|test-200|test-675|test-497|test-149|test-388,AP-AE,2024-08-21 12:02:50.708
Participant-107,test-149|test-200|test-497|test-675|test-388|test-859,AP-AE,2024-08-21 12:21:05.092
Participant-6,test-200|test-388|test-149|test-497|test-859|test-675,AP-AE,2024-08-21 12:55:15.058
Participant-229,test-388|test-675|test-149|test-859|test-200|test-497,AP-AE,2024-08-21 13:35:49.961
Participant-241,test-200|test-149|test-675|test-388|test-497|test-859,AP-AE,2024-08-21 13:26:38.786
Participant-86,test-859|test-497|test-200|test-388|test-149|test-675,AP-AE,2024-08-21 13:48:04.969
Participant-144,test-200|test-859|test-149|test-497|test-675|test-388,AP-AE,2024-08-21 14:25:43.877
Participant-222,test-675|test-497|test-388|test-200|test-859|test-149,AP-AE,2024-08-21 14:26:45.257
Participant-112,test-497|test-675|test-200|test-388|test-859|test-149,AP-AE,2024-08-21 14:56:28.150
Participant-188,test-149|test-497|test-388|test-859|test-675|test-200,AP-AE,2024-08-21 15:08:08.743
Participant-138,test-859|test-149|test-675|test-388|test-497|test-200,AP-AE,2024-08-21 16:30:48.262
Participant-165,test-149|test-497|test-388|test-200|test-675|test-859,AP-AE,2024-08-21 16:31:07.079
Participant-147,test-497|test-149|test-675|test-200|test-859|test-388,AP-AE,2024-08-21 16:31:12.934
Participant-137,test-497|test-675|test-200|test-388|test-859|test-149,AP-AE,2024-08-21 16:32:46.143
Participant-224,test-149|test-675|test-497|test-859|test-388|test-200,AP-AE,2024-08-21 16:32:55.285
Participant-34,test-200|test-388|test-859|test-149|test-675|test-497,AP-AE,2024-08-21 16:49:27.579
Participant-88,test-675|test-497|test-388|test-200|test-859|test-149,AP-AE,2024-08-21 16:59:03.582
Participant-89,test-859|test-675|test-200|test-149|test-497|test-388,AP-AE,2024-08-21 17:13:37.189
Participant-95,test-149|test-497|test-859|test-388|test-675|test-200,AP-AE,2024-08-21 17:17:50.499
Participant-217,test-200|test-859|test-149|test-497|test-675|test-388,AP-AE,2024-08-21 17:18:33.173
Participant-204,test-200|test-149|test-675|test-388|test-497|test-859,AP-AE,2024-08-21 17:19:49.137
Participant-99,test-149|test-859|test-388|test-497|test-675|test-200,AP-AE,2024-08-21 17:25:00.647
Participant-182,test-675|test-200|test-149|test-859|test-497|test-388,AP-AE,2024-08-21 17:38:48.633
Participant-114,test-149|test-497|test-388|test-675|test-200|test-859,AP-AE,2024-08-21 17:43:26.589
Participant-202,test-497|test-859|test-200|test-388|test-149|test-675,AP-AE,2024-08-21 17:47:16.027
Participant-38,test-675|test-388|test-859|test-200|test-149|test-497,AP-AE,2024-08-21 17:52:21.556
Participant-205,test-388|test-149|test-497|test-859|test-200|test-675,AP-AE,2024-08-21 17:59:03.478
Participant-199,test-497|test-149|test-859|test-675|test-200|test-388,AP-AE,2024-08-21 18:03:03.717
Participant-189,test-497|test-675|test-200|test-149|test-859|test-388,AP-AE,2024-08-21 17:54:18.717
Participant-127,test-859|test-200|test-675|test-149|test-388|test-497,AP-AE,2024-08-21 18:19:10.914
Participant-70,test-149|test-388|test-200|test-859|test-497|test-675,AP-AE,2024-08-21 18:19:54.437
Participant-193,test-200|test-859|test-149|test-675|test-497|test-388,AP-AE,2024-08-21 18:22:14.429
Participant-102,test-497|test-200|test-149|test-675|test-859|test-388,AP-AE,2024-08-21 18:30:27.532
Participant-157,test-859|test-149|test-675|test-497|test-200|test-388,AP-AE,2024-08-21 18:34:41.792
Participant-40,test-200|test-497|test-675|test-859|test-149|test-388,AP-AE,2024-08-21 18:52:34.117
Participant-46,test-200|test-675|test-149|test-388|test-497|test-859,AP-AE,2024-08-21 18:58:04.844
Participant-85,test-149|test-200|test-497|test-388|test-859|test-675,AP-AE,2024-08-21 19:08:50.899
Participant-8,test-388|test-200|test-149|test-675|test-497|test-859,AP-AE,2024-08-21 19:13:45.877
Participant-225,test-675|test-200|test-859|test-388|test-497|test-149,AP-AE,2024-08-21 19:48:29.032
Participant-79,test-200|test-497|test-859|test-388|test-149|test-675,AP-UE,2024-08-21 20:51:51.423
Participant-17,test-675|test-859|test-497|test-388|test-149|test-200,AP-UE,2024-08-21 20:52:39.830
Participant-158,test-200|test-149|test-388|test-859|test-675|test-497,AP-AE,2024-08-21 18:57:33.421
Participant-5,test-497|test-859|test-675|test-149|test-200|test-388,AP-AE,2024-08-21 19:13:40.485
Participant-26,test-149|test-675|test-497|test-200|test-859|test-388,AP-AE,2024-08-21 20:18:15.075
Participant-103,test-859|test-149|test-200|test-497|test-675|test-388,AP-UE,2024-08-21 20:57:02.206
Participant-52,test-675|test-388|test-497|test-200|test-149|test-859,AP-UE,2024-08-21 21:01:08.527
Participant-21,test-149|test-497|test-388|test-200|test-859|test-675,AP-UE,2024-08-21 21:04:15.411
Participant-78,test-497|test-149|test-675|test-859|test-200|test-388,AP-UE,2024-08-21 21:07:21.060
Participant-198,test-497|test-149|test-859|test-200|test-388|test-675,AP-UE,2024-08-21 21:39:38.040
Participant-94,test-859|test-200|test-388|test-149|test-675|test-497,AP-UE,2024-08-21 21:42:33.819
Participant-132,test-200|test-149|test-388|test-675|test-859|test-497,AP-UE,2024-08-21 21:44:55.106
Participant-3,test-200|test-497|test-388|test-149|test-859|test-675,AP-UE,2024-08-21 21:57:53.051
Participant-11,test-497|test-859|test-149|test-388|test-675|test-200,AP-UE,2024-08-21 21:58:14.882
Participant-212,test-149|test-497|test-388|test-675|test-859|test-200,AP-UE,2024-08-21 22:01:08.895
Participant-15,test-497|test-675|test-149|test-200|test-859|test-388,AP-UE,2024-08-21 22:05:25.722
Participant-72,test-388|test-675|test-200|test-497|test-149|test-859,AP-UE,2024-08-21 22:11:50.457
Participant-54,test-149|test-388|test-859|test-200|test-497|test-675,AP-UE,2024-08-21 22:36:33.702
Participant-177,test-497|test-675|test-149|test-388|test-200|test-859,AP-UE,2024-08-21 22:45:02.858
Participant-143,test-859|test-497|test-675|test-149|test-388|test-200,AP-UE,2024-08-21 22:58:27.471
Participant-206,test-149|test-497|test-200|test-675|test-859|test-388,AP-UE,2024-08-21 23:05:25.927
Participant-125,test-675|test-388|test-859|test-200|test-497|test-149,AP-UE,2024-08-21 23:06:51.348
Participant-223,test-859|test-200|test-149|test-388|test-497|test-675,AP-UE,2024-08-21 23:27:56.890
Participant-134,test-675|test-149|test-859|test-388|test-497|test-200,AP-UE,2024-08-21 23:36:13.564
Participant-128,test-200|test-388|test-149|test-859|test-675|test-497,AP-UE,2024-08-21 23:48:29.201
Participant-118,test-497|test-675|test-859|test-149|test-200|test-388,AP-UE,2024-08-21 23:54:26.179
Participant-13,test-859|test-497|test-200|test-675|test-388|test-149,AP-UE,2024-08-21 23:55:11.046
Participant-117,test-388|test-149|test-497|test-675|test-200|test-859,AP-UE,2024-08-21 23:59:12.042
Participant-121,test-859|test-497|test-149|test-675|test-388|test-200,AP-UE,2024-08-22 00:15:40.602
Participant-60,test-675|test-200|test-149|test-497|test-859|test-388,AP-UE,2024-08-22 00:24:56.508
Participant-233,test-497|test-388|test-675|test-859|test-149|test-200,AP-UE,2024-08-22 00:28:19.004
Participant-115,test-149|test-675|test-497|test-859|test-388|test-200,AP-UE,2024-08-22 00:31:28.955
Participant-36,test-388|test-497|test-149|test-675|test-859|test-200,AP-UE,2024-08-22 00:35:59.897
Participant-166,test-200|test-497|test-859|test-149|test-675|test-388,AP-UE,2024-08-22 00:54:34.247
Participant-151,test-497|test-675|test-149|test-388|test-200|test-859,AP-UE,2024-08-22 00:57:09.155
Participant-51,test-200|test-149|test-859|test-388|test-497|test-675,AP-UE,2024-08-22 01:00:41.014
