user_id,task_id,answer_type,choice,created_time
Participant-18,test-388,trust_execution,Yes,2024-08-21 10:22:49.996
Participant-18,test-388,confidence_execution,confident,2024-08-21 10:22:50.002
Participant-18,test-200,trust_planning,Yes,2024-08-21 10:23:38.022
Participant-18,test-200,risk,1,2024-08-21 10:23:38.027
Participant-18,test-200,confidence_planning,confident,2024-08-21 10:23:38.031
Participant-18,test-200,trust_execution,Yes,2024-08-21 10:25:13.115
Participant-18,test-200,confidence_execution,confident,2024-08-21 10:25:13.120
Participant-18,test-497,trust_planning,Yes,2024-08-21 10:26:36.304
Participant-18,test-497,risk,4,2024-08-21 10:26:36.309
Participant-18,test-497,confidence_planning,confident,2024-08-21 10:26:36.313
Participant-18,test-497,trust_execution,Yes,2024-08-21 10:28:24.723
Participant-18,test-497,confidence_execution,confident,2024-08-21 10:28:24.727
Participant-18,test-149,trust_planning,Yes,2024-08-21 10:29:32.920
Participant-18,test-149,risk,1,2024-08-21 10:29:32.925
Participant-18,test-149,confidence_planning,confident,2024-08-21 10:29:32.929
Participant-29,onbarding-auto,trust_execution,Yes,2024-08-21 10:30:01.030
Participant-29,onbarding-auto,confidence_execution,somewhat confident,2024-08-21 10:30:01.035
Participant-29,qualification_2,attention,3,2024-08-21 10:30:54.107
Participant-18,test-149,trust_execution,No,2024-08-21 10:31:36.648
Participant-18,test-149,confidence_execution,confident,2024-08-21 10:31:36.653
Participant-29,test-149,trust_planning,Yes,2024-08-21 10:32:15.084
Participant-29,test-149,risk,4,2024-08-21 10:32:15.090
Participant-29,test-149,confidence_planning,somewhat confident,2024-08-21 10:32:15.095
Participant-18,test-675,trust_planning,Yes,2024-08-21 10:33:13.823
Participant-18,test-675,risk,5,2024-08-21 10:33:13.828
Participant-18,test-675,confidence_planning,unconfident,2024-08-21 10:33:13.832
Participant-29,test-149,trust_execution,No,2024-08-21 10:33:39.670
Participant-29,test-149,confidence_execution,confident,2024-08-21 10:33:39.682
Participant-29,test-497,trust_planning,Yes,2024-08-21 10:34:18.886
Participant-29,test-497,risk,4,2024-08-21 10:34:18.890
Participant-29,test-497,confidence_planning,somewhat confident,2024-08-21 10:34:18.894
Participant-90,onbarding-auto,trust_execution,Yes,2024-08-21 10:35:02.032
Participant-90,onbarding-auto,confidence_execution,somewhat unconfident,2024-08-21 10:35:02.037
Participant-29,test-497,trust_execution,Yes,2024-08-21 10:35:20.702
Participant-29,test-497,confidence_execution,confident,2024-08-21 10:35:20.714
