task_id,risk_perception,plan_quality,0,1
test-149,1,1,1,0.0
test-149,1,2,45,0.0
test-149,1,5,3,1.0
test-149,2,1,2,0.0
test-149,2,2,72,0.0
test-149,2,3,2,0.5
test-149,2,5,2,1.0
test-149,3,2,36,0.0
test-149,3,5,4,0.5
test-149,4,1,1,0.0
test-149,4,2,48,0.0
test-149,4,5,3,0.6666666666666666
test-149,5,1,1,0.0
test-149,5,2,24,0.0
test-149,5,5,4,1.0
test-200,1,1,1,1.0
test-200,1,2,1,1.0
test-200,1,3,40,0.875
test-200,2,1,1,0.0
test-200,2,3,61,0.7540983606557377
test-200,2,5,1,1.0
test-200,3,1,4,0.5
test-200,3,3,43,0.6976744186046512
test-200,3,4,1,0.0
test-200,4,1,1,0.0
test-200,4,3,58,0.7068965517241379
test-200,4,4,2,0.5
test-200,4,5,1,0.0
test-200,5,1,3,0.0
test-200,5,3,30,0.7333333333333333
test-388,1,1,2,0.0
test-388,1,2,1,0.0
test-388,1,3,1,0.0
test-388,1,4,2,0.5
test-388,1,5,159,0.9245283018867925
test-388,2,1,6,0.0
test-388,2,5,40,0.925
test-388,3,1,2,0.0
test-388,3,2,1,0.0
test-388,3,3,1,0.0
test-388,3,5,22,0.9090909090909091
test-388,4,1,1,0.0
test-388,4,5,5,0.4
test-388,5,5,5,0.8
test-497,1,1,2,0.0
test-497,1,2,2,0.0
test-497,1,3,1,0.0
test-497,1,4,2,0.5
test-497,1,5,62,0.9354838709677419
test-497,2,1,1,0.0
test-497,2,5,69,0.9710144927536232
test-497,3,3,1,1.0
test-497,3,5,45,0.9333333333333333
test-497,4,1,1,0.0
test-497,4,3,2,0.5
test-497,4,5,43,1.0
test-497,5,1,1,0.0
test-497,5,3,1,1.0
test-497,5,5,15,1.0
test-675,1,1,2,0.0
test-675,1,3,1,0.0
test-675,1,5,57,0.08771929824561403
test-675,2,3,3,0.0
test-675,2,5,67,0.13432835820895522
test-675,3,1,3,0.0
test-675,3,3,2,0.0
test-675,3,4,1,1.0
test-675,3,5,49,0.12244897959183673
test-675,4,1,2,0.0
test-675,4,3,1,0.0
test-675,4,5,38,0.15789473684210525
test-675,5,3,1,0.0
test-675,5,5,21,0.14285714285714285
test-859,1,1,3,0.0
test-859,1,3,96,0.4375
test-859,1,5,1,0.0
test-859,2,1,7,0.0
test-859,2,2,1,1.0
test-859,2,3,73,0.4657534246575342
test-859,2,5,1,0.0
test-859,3,3,44,0.4772727272727273
test-859,4,1,1,0.0
test-859,4,3,19,0.5263157894736842
test-859,5,1,1,0.0
test-859,5,3,1,0.0
